Date,Supplier,Description,Transaction value
09/05/2016,A McGillivray,Causewayside Refurbishment,53690
25/07/2016,A McGillivray,Causewayside Refurbishment,30113
30/09/2016,A McGillivray,Causewayside Refurbishment,44392
30/05/2016,ALDL,ALDL Charges,32317
31/07/2016,ALDL,ALDL Charges,32317
24/10/2016,ALDL,ALDL Charges,32317
23/01/2017,ALDL,ALDL Charges,27730
22/05/2017,ALDL,Legal Deposit Services,27067
24/07/2017,ALDL,Legal Deposit Services,27067
06/11/2017,ALDL,Legal Deposit Services,27067
27/02/2018,ALDL,Legal Deposit Services,27067
11/06/2018,ALDL,ALDL Charges,27067
23/10/2019,ALDL,Oct19-Dec19 charge from Agency for Legal Deposit Libraries,25155.6
14/01/2020,ALDL,Jan20-Mar 20 charge from Agency for Legal Deposit Libraries,25155.6
24/07/2017,AM Phillip,Vehicle Purchase,26604
08/05/2017,Anglian Water Business,Water,26832
24/01/2019,ARTHUR MCKAY BUILDING SERVICES,Causewayside Work,100235.17
31/08/2018,AUTOMATED DOCUMENT SERVICES,IT equipment,84480
14/03/2018,Bernard Quaritch Ltd,Literary & Archival Items,372500
22/06/2018,BONHAMS - LONDON,Literary & Archival Items,25025
26/06/2017,British Library,Legal Deposit Services,50056
11/12/2018,CALEDONIAN LIFT SERVICES LTD,Causewayside Work,47944.8
07/11/2016,CBRE,Kelvin Hall,83736
10/10/2016,Cengage Learning (Emea )Ltd,Literary & Archival Items,86604
27/02/2017,Cengage Learning (Emea )Ltd,Literary & Archival Items,43302
24/04/2017,Cengage Learning (Emea )Ltd,Literary & Archival Items,43302
20/09/2018,Cengage Learning (Emea )Ltd,Literary & Archival Items,64791
31/01/2019,Cengage Learning (Emea )Ltd,Literary & Archival Items,66443
18/07/2016,Christies,Literary & Archival Items,33800
23/10/2017,City Building LLP,Causewayside Refurbishment,53147
30/04/2016,City Of Edinburgh Council,Non Domestic Rates ,40800
12/09/2016,City Of Edinburgh Council,Non Domestic Rates ,144330
12/09/2016,City Of Edinburgh Council,Non Domestic Rates ,49827
15/09/2017,City Of Edinburgh Council,Non Domestic Rates ,57662
15/09/2017,City Of Edinburgh Council,Non Domestic Rates ,142680
13/09/2018,City Of Edinburgh Council,Non Domestic Rates,59303.2
13/09/2018,City Of Edinburgh Council,Non Domestic Rates,146740
18/09/2019,City Of Edinburgh Council,Annual Property Rates 2019/20 for three buildings,221467.2
09/05/2016,Computacenter Uk,Kelvin Hall,72835
23/05/2016,Computacenter Uk,Kelvin Hall,26506
30/04/2019,Computacenter Uk,IT equipment,139571.14
15/08/2016,Creative Video Productions Ltd,Kelvin Hall,26866
23/08/2017,Culture And Sport Glasgow,Kelvin Hall,60503
18/12/2019,ECG Facilities Service,"Payment of 19 separate invoice including for service of chiller, re-route return pipes, data cabling and install of WifI devices, sprinkler work",44556.15
22/01/2020,ECG Facilities Service,"Payment of 28 separate invoices including for supply and fit aluminium screen, upgrade boilerhouse electrical panels,CCTV components, pump casting & lift repairs",89297.94
09/01/2020,ECG Facilities Service,Payment of 18 separate invoices including for December facilities services and boiler replacement CB,78585.73
23/05/2016,ECG Facilities Service,Facilities Management Charge,32777
23/05/2016,ECG Facilities Service,Facilities Management Charge,32777
28/06/2016,ECG Facilities Service,Facilities Management Charge,32832
08/08/2016,ECG Facilities Service,Facilities Management Charge,32795
24/08/2016,ECG Facilities Service,Facilities Management Charge,32795
26/09/2016,ECG Facilities Service,Facilities Management Charge,32795
24/10/2016,ECG Facilities Service,Facilities Management Charge,32795
08/12/2016,ECG Facilities Service,Facilities Management Charge,32795
30/12/2016,ECG Facilities Service,Facilities Management Charge,32795
07/02/2017,ECG Facilities Service,Facilities Management Charge,32795
27/02/2017,ECG Facilities Service,Facilities Management Charge,32795
27/03/2017,ECG Facilities Service,Facilities Management Charge,32795
22/05/2017,ECG Facilities Service,Facilities Management Charge,33386
29/05/2017,ECG Facilities Service,Facilities Management Charge,33386
26/06/2017,ECG Facilities Service,Facilities Management Charge,33386
16/08/2017,ECG Facilities Service,Facilities Management Charge,33386
23/08/2017,ECG Facilities Service,Facilities Management Charge,33386
30/10/2017,ECG Facilities Service,Facilities Management Charge,35758
30/10/2017,ECG Facilities Service,Facilities Management Charge,35758
11/12/2017,ECG Facilities Service,Facilities Management Charge,35758
08/01/2018,ECG Facilities Service,Facilities Management Charge,35758
29/01/2018,ECG Facilities Service,Facilities Management Charge,35758
14/03/2018,ECG Facilities Service,Facilities Management Charge,35758
